area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1141,2.0,2.0,486.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1464,3.0,2.0,504.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1500,3.0,3.0,607.41
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,456,1.0,1.0,135.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,1.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3122,6.0,2.0,2205.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,760,2.0,2.0,337.41
Plot  Area,Ready To Move,Victoria Island,6 Bedroom,General Lagos Estate,2400,6.0,0.0,4320.0
Built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,800,2.0,2.0,288.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1180,2.0,1.0,640.98
Carpet  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,775,2.0,2.0,265.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1145,2.0,2.0,445.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1060,2.0,1.0,382.5
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3900,5.0,,3735.0
Super built-up  Area,19-Sep,Other Lagos Areas,3 BHK,General Lagos Estate,1420,2.0,1.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2439,4.0,3.0,1710.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,2.0,2700.0
Super built-up  Area,19-Dec,Ojota,2 BHK,General Lagos Estate,1111,2.0,1.0,444.87
Built-up  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,984,2.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,378.0
Super built-up  Area,18-Oct,Other Lagos Areas,2 BHK,General Lagos Estate,1247,2.0,1.0,426.51
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,1.0,697.23
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1550,3.0,1.0,765.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1270,2.0,1.0,720.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1012,2.0,1.0,585.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,970,2.0,2.0,306.0
Super built-up  Area,18-Feb,Other Lagos Areas,2 BHK,General Lagos Estate,933,2.0,1.0,495.0
Plot  Area,18-Aug,Sangotedo,3 Bedroom,General Lagos Estate,1200,3.0,2.0,685.17
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1148,2.0,2.0,621.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1463,2.0,1.0,553.0500000000001
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1719,3.0,2.0,990.0
Super built-up  Area,19-Dec,Lekki,2 BHK,General Lagos Estate,1350,2.0,1.0,792.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1250,2.0,2.0,423.0
Built-up  Area,Ready To Move,Other Lagos Areas,8 Bedroom,General Lagos Estate,1700,3.0,2.0,450.0
Plot  Area,Ready To Move,Other Lagos Areas,9 Bedroom,General Lagos Estate,4320,7.0,2.0,7389.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,1.0,675.0
Built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1030,2.0,2.0,396.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1420,3.0,3.0,630.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,9600,6.0,1.0,16200.0
Super built-up  Area,19-Jul,Other Lagos Areas,3 BHK,General Lagos Estate,1703,3.0,2.0,1134.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1210,2.0,1.0,720.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1210,2.0,1.0,450.0
Plot  Area,18-Aug,Other Lagos Areas,4 Bedroom,General Lagos Estate,3000,4.0,3.0,2376.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1398,3.0,0.0,459.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1335,2.0,3.0,990.0
Super built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1255,2.0,1.0,470.88
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,540,4.0,2.0,765.0
Super built-up  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1213,2.0,1.0,327.33
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1240,2.0,2.0,378.36
Super built-up  Area,Ready To Move,Festac,2 BHK,General Lagos Estate,1076,2.0,1.0,702.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1320,2.0,3.0,810.0
Super built-up  Area,19-Mar,Lekki,2 BHK,General Lagos Estate,1216,2.0,1.0,720.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,2.0,378.0
Super built-up  Area,19-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,1183,2.0,1.0,695.6999999999999
Super built-up  Area,20-Jan,Other Lagos Areas,1 BHK,General Lagos Estate,656,1.0,1.0,348.93
Super built-up  Area,19-Dec,Other Lagos Areas,1 BHK,General Lagos Estate,534,1.0,1.0,176.85
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1285,2.0,2.0,405.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2087.01,4.0,2.0,1215.0
Built-up  Area,18-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1161,2.0,1.0,531.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1306,2.0,3.0,585.0
Super built-up  Area,22-May,Other Lagos Areas,4 BHK,General Lagos Estate,2249.81,4.0,2.0,2205.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1504,3.0,2.0,603.0
Super built-up  Area,18-May,Other Lagos Areas,1 BHK,General Lagos Estate,645,1.0,1.0,351.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1230,2.0,0.0,612.0
Built-up  Area,Ready To Move,Eko Atlantic,2 BHK,General Lagos Estate,1100,2.0,2.0,378.0
Super built-up  Area,Ready To Move,Festac,1 BHK,General Lagos Estate,1000,1.0,0.0,126.0
Super built-up  Area,18-Jun,Other Lagos Areas,2 BHK,General Lagos Estate,1260,2.0,1.0,558.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1817,3.0,3.0,918.0
Super built-up  Area,19-Jan,Other Lagos Areas,4 BHK,General Lagos Estate,3626,5.0,3.0,7065.0
Super built-up  Area,18-Apr,Other Lagos Areas,2 BHK,General Lagos Estate,1180,2.0,3.0,1116.0
Built-up  Area,Ready To Move,Ebute Metta,2 BHK,General Lagos Estate,1050,2.0,2.0,495.0
Plot  Area,Ready To Move,Lekki,4 Bedroom,General Lagos Estate,2900,4.0,3.0,2025.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2110,4.0,3.0,1080.0
Built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,500,1.0,1.0,157.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1930,3.0,3.0,675.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,4560,5.0,,3870.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1505,3.0,2.0,576.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2400,3.0,1.0,6750.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,890,2.0,1.0,243.0
Plot  Area,19-Jan,Other Lagos Areas,2 Bedroom,General Lagos Estate,1200,1.0,1.0,324.0
Super built-up  Area,18-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,849,2.0,2.0,228.6
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1555,3.0,1.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,600,2.0,1.0,765.0
Carpet  Area,Ready To Move,Ebute Metta,2 BHK,General Lagos Estate,1057,2.0,2.0,270.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1680,3.0,2.0,1098.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,799,2.0,1.0,315.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1450,2.0,1.0,675.0
Super built-up  Area,18-Dec,Other Lagos Areas,3 BHK,General Lagos Estate,1819,3.0,2.0,900.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1135,2.0,1.0,510.66
Super built-up  Area,Ready To Move,Surulere,3 BHK,General Lagos Estate,2020,3.0,2.0,1440.0
Super built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,2700,4.0,,1530.0
Super built-up  Area,18-Jan,Other Lagos Areas,3 BHK,General Lagos Estate,1730,3.0,2.0,653.4
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1950,3.0,2.0,1125.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1077,2.0,1.0,310.14
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1706,3.0,2.0,1035.0
Built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,3000,4.0,0.0,2700.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1093,2.0,1.0,333.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2750,4.0,,1278.0
Super built-up  Area,18-Feb,Lekki,2 BHK,General Lagos Estate,1340,2.0,1.0,909.0
Super built-up  Area,18-Nov,Other Lagos Areas,2 BHK,General Lagos Estate,984,2.0,1.0,531.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1135,2.0,2.0,612.0
Plot  Area,18-Dec,Other Lagos Areas,4 Bedroom,General Lagos Estate,2400,4.0,1.0,3096.0
Super built-up  Area,Ready To Move,Abule Egba,2 BHK,General Lagos Estate,1155,2.0,2.0,351.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,700,1.0,0.0,315.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1150,2.0,1.0,378.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1385,2.0,1.0,623.25
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2061,4.0,2.0,1575.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1335,2.0,3.0,660.8700000000001
Super built-up  Area,Ready To Move,Abule,2 BHK,General Lagos Estate,1015,2.0,1.0,540.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,3000,6.0,2.0,1350.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1108,2.0,1.0,567.0
Super built-up  Area,Ready To Move,Shomolu,2 BHK,General Lagos Estate,1180,2.0,1.0,945.0
Super built-up  Area,18-Sep,Other Lagos Areas,3 BHK,General Lagos Estate,1445,2.0,1.0,747.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1500,2.0,2.0,585.0
Plot  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,1Grounds,1.0,1.0,432.0
Super built-up  Area,18-Jun,Ebute Metta,2 BHK,General Lagos Estate,1085,2.0,1.0,418.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,2.0,468.71999999999997
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2760,4.0,2.0,2610.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1330,2.0,1.0,441.0
Plot  Area,18-May,Other Lagos Areas,2 Bedroom,General Lagos Estate,845,2.0,1.0,412.38
Super built-up  Area,18-Mar,Other Lagos Areas,3 BHK,General Lagos Estate,1762,3.0,3.0,1008.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1303,2.0,2.0,720.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1560,2.0,2.0,1125.0
Super built-up  Area,19-Jan,Other Lagos Areas,3 BHK,General Lagos Estate,1110,2.0,2.0,269.73
Super built-up  Area,18-May,Other Lagos Areas,3 BHK,General Lagos Estate,1290,3.0,2.0,407.96999999999997
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1160 - 1315,2.0,0.0,445.41
Super built-up  Area,18-Mar,Other Lagos Areas,3 BHK,General Lagos Estate,1780,3.0,2.0,792.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1636,3.0,2.0,747.0
Built-up  Area,18-May,Iyana Ipaja,4 Bedroom,General Lagos Estate,2557,,,1530.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1332,2.0,2.0,909.0
Super built-up  Area,Ready To Move,Other Lagos Areas,5 BHK,General Lagos Estate,7500,5.0,2.0,13500.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1012,2.0,2.0,531.0
Super built-up  Area,Ready To Move,Mowe,2 BHK,General Lagos Estate,1192,2.0,2.0,481.5
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,795,2.0,1.0,292.86
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1213,2.0,2.0,432.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1489,3.0,2.0,792.0
Super built-up  Area,Ready To Move,Sangotedo,2 BHK,General Lagos Estate,1200,2.0,2.0,558.0
Super built-up  Area,18-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1140,2.0,2.0,256.5
Super built-up  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1200,2.0,1.0,495.71999999999997
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,1.0,324.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,2640,6.0,1.0,2025.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1650,3.0,1.0,846.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,1245,2.0,1.0,1080.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1224,2.0,2.0,603.0
Super built-up  Area,18-Aug,Other Lagos Areas,2 BHK,General Lagos Estate,1235,2.0,2.0,474.84
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,410.40000000000003
Built-up  Area,Ready To Move,Festac,3 BHK,General Lagos Estate,1342,2.0,2.0,675.0
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,600,3.0,2.0,711.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1800,2.0,2.0,720.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2280,4.0,2.0,5535.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2440,2.0,0.0,3735.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1130,2.0,1.0,416.96999999999997
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1186,2.0,3.0,648.0
Super built-up  Area,Ready To Move,Iyana Ipaja,2 BHK,General Lagos Estate,1295,2.0,1.0,576.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1535,3.0,2.0,765.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,905,2.0,1.0,585.0
Super built-up  Area,18-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1447,2.0,1.0,683.73
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1165,2.0,1.0,360.0
Super built-up  Area,19-Jul,Other Lagos Areas,2 BHK,General Lagos Estate,1328,2.0,2.0,963.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1485,2.0,3.0,990.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1475,2.0,3.0,531.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1175,2.0,2.0,315.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1245,2.0,2.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,720,4.0,1.0,855.0
Super built-up  Area,20-Nov,Other Lagos Areas,2 BHK,General Lagos Estate,985,2.0,1.0,449.73
Plot  Area,Ready To Move,Victoria Island,5 Bedroom,General Lagos Estate,4000,5.0,0.0,7200.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1395,2.0,2.0,567.0
Super built-up  Area,21-Dec,Ojota,1 BHK,General Lagos Estate,706 - 716,1.0,0.0,383.84999999999997
Super built-up  Area,18-Apr,Ajah,1 BHK,General Lagos Estate,630,1.0,1.0,364.5
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2400,4.0,1.0,792.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1170,2.0,2.0,360.0
Super built-up  Area,Ready To Move,Yaba,4 BHK,General Lagos Estate,2500,5.0,2.0,1629.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1100,2.0,2.0,445.5
Super built-up  Area,18-Mar,Other Lagos Areas,4 BHK,General Lagos Estate,3560,5.0,3.0,2862.0
Plot  Area,Ready To Move,Other Lagos Areas,2 Bedroom,General Lagos Estate,900,2.0,0.0,495.0
Built-up  Area,18-Dec,Other Lagos Areas,2 BHK,General Lagos Estate,1160,2.0,1.0,301.59
Super built-up  Area,18-Jan,Abule Egba,2 BHK,General Lagos Estate,1180,2.0,2.0,495.0
Super built-up  Area,21-Jan,Other Lagos Areas,3 BHK,General Lagos Estate,1441,2.0,1.0,855.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1115,2.0,1.0,450.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1825,3.0,2.0,1305.0
Carpet  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1489,2.0,0.0,909.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2800,4.0,3.0,3285.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1278,3.0,2.0,564.39
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1223,2.0,2.0,385.29
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1065,2.0,1.0,458.28000000000003
Super built-up  Area,Ready To Move,Lekki,2 BHK,General Lagos Estate,1190,2.0,1.0,576.0
Super built-up  Area,22-Jun,Victoria Island,2 BHK,General Lagos Estate,1130,2.0,2.0,567.0
Super built-up  Area,18-Apr,Gbagada,2 BHK,General Lagos Estate,1430,2.0,2.0,790.1999999999999
Built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,1900,3.0,1.0,810.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1104,2.0,1.0,307.98
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1240,2.0,2.0,412.92
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1140,2.0,2.0,558.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1194,2.0,2.0,423.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1464,3.0,2.0,504.0
Super built-up  Area,Ready To Move,Sangotedo,4 BHK,General Lagos Estate,3508,6.0,2.0,3825.0
Super built-up  Area,Ready To Move,Ebute Metta,3 BHK,General Lagos Estate,1700,3.0,3.0,945.0
Super built-up  Area,18-Dec,Other Lagos Areas,4 BHK,General Lagos Estate,2658,5.0,3.0,1701.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1600,2.0,1.0,810.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3400,4.0,2.0,2475.0
Super built-up  Area,18-Apr,Other Lagos Areas,3 BHK,General Lagos Estate,1508,3.0,1.0,675.0
Built-up  Area,18-Jan,Other Lagos Areas,1 BHK,General Lagos Estate,645,1.0,1.0,369.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1046,2.0,1.0,540.0
Plot  Area,Ready To Move,Other Lagos Areas,10 Bedroom,General Lagos Estate,1200,8.0,3.0,2070.0
Built-up  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,1500,1.0,1.0,2700.0
Built-up  Area,Ready To Move,Other Lagos Areas,6 Bedroom,General Lagos Estate,3000,6.0,3.0,2700.0
Super built-up  Area,18-May,Other Lagos Areas,2 BHK,General Lagos Estate,1079,2.0,1.0,291.33
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,975,2.0,1.0,450.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,1.0,459.0
Plot  Area,Ready To Move,Surulere,9 Bedroom,General Lagos Estate,1200,9.0,0.0,3150.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1903,3.0,2.0,1485.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,2940Sq. Yards,3.0,1.0,2088.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1200,2.0,2.0,342.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,2996,4.0,3.0,1800.0
Built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,3400,4.0,,1800.0
Plot  Area,Ready To Move,Lekki,4 Bedroom,General Lagos Estate,2000,4.0,1.0,2808.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1453,4.0,1.0,1440.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1092,2.0,2.0,387.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1400,2.0,0.0,675.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1416,2.0,1.0,765.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1602,2.0,1.0,675.0
Super built-up  Area,Ready To Move,Ajah,2 BHK,General Lagos Estate,1100,2.0,1.0,369.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1760,3.0,,990.0
Super built-up  Area,Ready To Move,Yaba,4 BHK,General Lagos Estate,3800,4.0,3.0,2115.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1037,2.0,1.0,326.52
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1384,2.0,2.0,685.6200000000001
Super built-up  Area,22-Jan,Other Lagos Areas,1 BHK,General Lagos Estate,551,1.0,1.0,270.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2400,5.0,,11250.0
Plot  Area,Ready To Move,Other Lagos Areas,1 Bedroom,General Lagos Estate,500,1.0,0.0,630.0
Super built-up  Area,18-Apr,Sangotedo,2 BHK,General Lagos Estate,900,2.0,2.0,251.82
Plot  Area,Ready To Move,Other Lagos Areas,3 Bedroom,General Lagos Estate,1415,2.0,1.0,666.0
Super built-up  Area,18-Mar,Other Lagos Areas,2 BHK,General Lagos Estate,1400,2.0,1.0,403.2
Plot  Area,Ready To Move,Other Lagos Areas,7 Bedroom,General Lagos Estate,1300,4.0,1.0,468.0
Built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2850,4.0,3.0,4140.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1030,2.0,2.0,675.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,883,2.0,1.0,351.0
Super built-up  Area,Ready To Move,Other Lagos Areas,1 BHK,General Lagos Estate,550,1.0,1.0,144.0
Super built-up  Area,Ready To Move,Other Lagos Areas,4 BHK,General Lagos Estate,1800,4.0,2.0,495.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,10000,5.0,,17550.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1210,2.0,1.0,693.0
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,2000,3.0,0.0,810.0
Super built-up  Area,21-Oct,Other Lagos Areas,3 BHK,General Lagos Estate,1100,3.0,1.0,522.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1780,3.0,1.0,900.0
Plot  Area,Ready To Move,Other Lagos Areas,5 Bedroom,General Lagos Estate,950,5.0,2.0,495.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,2.0,540.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1370,3.0,3.0,345.24
Super built-up  Area,Ready To Move,Yaba,4 BHK,General Lagos Estate,3951,4.0,3.0,2070.0
Super built-up  Area,Ready To Move,Abule,3 BHK,General Lagos Estate,2500,4.0,2.0,1008.0
Built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1050,2.0,1.0,445.5
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,1843,3.0,1.0,787.86
Plot  Area,Ready To Move,Other Lagos Areas,4 Bedroom,General Lagos Estate,1200,4.0,1.0,1575.0
Super built-up  Area,Ready To Move,Other Lagos Areas,2 BHK,General Lagos Estate,1186,2.0,1.0,684.0
Super built-up  Area,18-Aug,Other Lagos Areas,1 BHK,General Lagos Estate,560,1.0,1.0,405.0
Super built-up  Area,Ready To Move,Other Lagos Areas,3 BHK,General Lagos Estate,2357,3.0,2.0,1215.0
